date,symbol,shares,price,side
2026-06-01,NVDA,59,219.67,BUY
2026-06-01,MSFT,30,460.89,BUY
2026-06-01,AMZN,51,264.25,BUY
2026-06-02,META,24,600.47,BUY
2026-06-02,PANW,33,300.48,BUY
2026-06-02,PANW,17,300.48,SELL
2026-06-02,TSM,34,435.63,BUY
2026-06-02,AVGO,10,459.97,BUY
2026-06-03,GOOGL,27,361.85,BUY
2026-06-03,PANW,4,297.18,BUY
2026-06-04,CRWD,4,747.61,BUY
2026-06-04,AVGO,6,479.23,BUY
2026-06-04,META,1,622.98,SELL
2026-06-04,TSM,1,436.69,SELL
2026-06-04,PANW,4,280.43,SELL
2026-06-05,AVGO,5,418.91,SELL
2026-06-05,UBER,55,72.21,BUY
2026-06-08,CRWD,2,671.02,SELL
2026-06-08,AVGO,4,385.73,SELL
2026-06-08,APP,5,557.2,BUY
